Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,1n,
"C101, C102, C103, C105, C106, C107, C108, C110, C118, C122, C123, C124, C125, C128, C130, C133, C134, C135, C137, C138, C139, C140, C142, C143, C147, C148",0402,26,100n,
"C104, C109, C116, C117, C121, C126, C127, C131, C132, C144, C146, C149",0805,12,10u,
C111,CP_Elec_6.3x7.7,1,45u,
"C112, C113, C151",0603,3,100n,
"C114, C115",0603,2,22p,
"C119, C120",0603,2,12p,
"C141, C150",0603,2,10n,
C145,0805,1,1u,
"D101, D102, D103, D105, D106",DIOM179X85N,5,CDBU0245-HF,
D104,SOT-323_SC-70,1,ESD2CAN24DCKRQ1,
"D107, D108",TEMD5080X01,2,TEMD5080X01,
GNDS1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
I2C1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"IC101, IC103, IC104",SOT65P210X110-5N,3,OPA396DCKR,
IC102,ICM42670P,1,ICM-42670-P,
J101,USB_C_Receptacle_GCT_USB4085,1,USB4085-GF-A,
J102,SMA_Wurth_60312002114503_Vertical,1,SMA,
"JP101, R123, R124, R125, R142, R150, R151",0603,7,0,
"LED101, LED102",0603,2,LED_0603,
"M0, M1, NTC1, ODLED1",JST_XA_S02B-XASK-1_1x02_P2.50mm_Horizontal,4,XA_S02B,
M2+LEDS1,JST_XA_S03B-XASK-1_1x03_P2.50mm_Horizontal,1,XA_S03B,
POWER+COM1,JST_XA_S06B-XASK-1_1x06_P2.50mm_Horizontal,1,XA_S06B,
"Q1, Q2, Q3, Q4, Q5",SOT-23-3,5,NTR4501NT1G,
"R1, R101, R112, R130, R141, R144, R146",0603,7,10k,
"R102, R103, R107, R108, R116, R132, R135",0603,7,2k2,
"R104, R105",0603,2,100/min 60mW,
"R106, R109, R110, R117, R126",0603,5,220,
"R111, R113, R114, R119, R127, R131, R133, R138, R139, R3",0603,10,100k,
"R115, R118, R120",0603,3,480,
"R121, R122, RA101, RB101",0603,4,5.1k,
"R148, RDIF101",0603,2,20k,
R149,0603,1,50k,
"R2, R5",0603,2,1k,
R4,0603,1,100,
RC101,0603,1,40k,
"SW101, SW102",SW_SPST_CK_KMS2xxGP,2,KMR223GLFG,
"TIA1, TIA2",TestPoint_Loop_D2.50mm_Drill1.0mm,2,TestPoint_Small,
U1,VSSOP-8_SOP65P490X110-8N,1,OPA2328DGKR,
U101,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
"U104, U109",SOT-23-5,2,MIC5504-3.3YM5,
U105,SOT-353_SC-70-5,1,LM4040DCK-2.0,
"U106, U107",OPT3002DNPR,2,OPT3002DNPR,
U108,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,LM27761,
UC101,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,
Y101,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,ECX-.327-CDX-1293,
Y102,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,ECS-400-10-37B2-CKM-TR,
