Designator,Mid X,Mid Y,Rotation,Layer
C1,37.75,-63.75,90.0,bottom
C101,74.8,-75.0,270.0,top
C102,96.3025,-80.47,270.0,top
C103,73.735,-66.33,0.0,top
C104,65.3,-78.5,270.0,top
C105,66.9,-78.5925,270.0,top
C106,64.4,-71.2,180.0,top
C107,63.835,-75.73,270.0,top
C108,79.3,-80.8675,270.0,top
C109,90.9675,-42.2,180.0,top
C110,91.0,-40.6,180.0,top
C111,93.75,-26.25,270.0,top
C112,89.0,-36.0,270.0,top
C113,90.0,-59.75,270.0,top
C114,76.8,-76.0,270.0,top
C115,76.835,-73.0,90.0,top
C116,76.85,-35.6625,270.0,top
C117,79.0,-35.6625,270.0,top
C118,77.5875,-33.0,0.0,top
C119,61.17,-77.65,270.0,top
C120,56.71,-77.2125,270.0,top
C121,46.0,-64.6,90.0,top
C122,47.8,-64.65,90.0,top
C123,50.6,-63.25,180.0,top
C124,40.6,-56.9,270.0,top
C125,55.5,-35.38125,270.0,top
C126,88.1325,-63.36,90.0,top
C127,81.1325,-63.4,90.0,top
C128,52.4125,-32.88125,0.0,top
C130,41.6,-47.2,0.0,top
C131,66.2375,-49.6,90.0,top
C132,59.4,-48.5,90.0,top
C133,55.0,-50.9,90.0,top
C134,31.5975,-76.625,270.0,bottom
C135,38.45,-76.0575,270.0,bottom
C137,31.15,-37.47,270.0,top
C138,42.0625,-28.5,270.0,top
C139,38.2325,-47.2,180.0,top
C140,30.5125,-28.5675,90.0,top
C141,27.75,-69.5,0.0,bottom
C142,36.0125,-31.5,270.0,top
C143,31.25,-61.25,0.0,bottom
C144,61.1,-53.8,90.0,top
C145,65.7,-59.3,270.0,top
C146,63.3,-53.7875,90.0,top
C147,55.0,-56.6325,90.0,top
C148,35.0,-66.5,0.0,bottom
C149,65.5,-53.8,90.0,top
C150,43.2,-65.0,180.0,bottom
C151,43.2,-66.7,180.0,bottom
C2,34.75,-59.0,0.0,bottom
C3,27.75,-58.5,0.0,bottom
D101,73.85,-33.95,180.0,top
D102,85.25,-35.0,180.0,top
D103,92.5,-65.95,0.0,top
D104,92.6,-69.21,180.0,top
D105,87.6,-57.3,90.0,top
D106,81.0,-66.5,0.0,top
D107,33.45,-69.8,270.0,bottom
D108,42.8,-69.9,90.0,bottom
GNDS1,25.4,-48.445,0.0,top
I2C1,62.14,-83.0,90.0,top
IC101,52.8625,-35.38125,0.0,top
IC102,50.65,-66.1,180.0,top
IC103,39.15,-28.42,0.0,top
IC104,33.5125,-28.42,180.0,top
J101,98.705,-69.6,90.0,top
J102,37.4,-21.96,270.0,top
JP101,95.1,-63.2,0.0,top
LED101,85.5,-75.6,180.0,top
LED102,85.5,-73.8,0.0,top
M0,73.8,-23.8375,180.0,top
M1,85.4,-23.8375,180.0,top
M2+LEDS1,99.1625,-55.8,90.0,top
NTC1,51.1375,-23.775,180.0,top
NTC2,45.75,-40.5,0.0,top
ODLED1,64.0,-23.8375,180.0,top
PH1,34.25,-45.5,0.0,top
POWER+COM1,99.0625,-40.3875,90.0,top
Q1,64.2,-38.4375,270.0,top
Q2,72.5,-38.4,270.0,top
Q3,85.0,-38.3,270.0,top
Q4,84.2,-52.1,180.0,top
Q5,84.2,-56.9,180.0,top
R1,39.75,-63.75,270.0,bottom
R101,88.6625,-80.64,270.0,top
R102,60.8,-65.1,0.0,top
R103,69.7875,-64.8,180.0,top
R104,64.0,-33.6,0.0,top
R105,64.0,-35.4,0.0,top
R106,64.0,-41.85,180.0,top
R107,61.5,-67.6,0.0,top
R108,60.0,-70.0,0.0,top
R109,72.35,-41.25,180.0,top
R110,85.0,-41.25,180.0,top
R111,64.0,-43.65,0.0,top
R112,86.715,-80.69,270.0,top
R113,72.35,-43.0875,0.0,top
R114,84.9875,-43.0875,0.0,top
R115,89.2,-52.0625,270.0,top
R116,89.015,-75.6,180.0,top
R117,81.2,-52.0625,90.0,top
R118,87.2,-52.0625,270.0,top
R119,79.2,-52.0625,270.0,top
R120,91.0,-52.0125,270.0,top
R121,102.0,-67.8,180.0,bottom
R122,93.1,-71.95,180.0,top
R123,87.0125,-70.09,180.0,top
R124,87.05,-68.31,180.0,top
R125,59.25,-74.75,180.0,top
R126,81.2,-56.8125,90.0,top
R127,79.2,-56.8125,270.0,top
R130,42.0,-45.6,0.0,top
R131,55.2,-66.0,270.0,top
R132,89.12125,-73.8,0.0,top
R133,43.8,-50.8,90.0,top
R135,33.5125,-34.92,0.0,top
R138,40.8775,-76.84,180.0,top
R139,33.975,-74.94,0.0,top
R141,38.0,-45.6,180.0,top
R142,39.0625,-31.0,0.0,top
R144,33.5125,-32.92,180.0,top
R146,33.5125,-30.92,0.0,top
R148,60.2,-57.8,90.0,top
R149,61.9,-60.4,180.0,top
R150,57.5,-51.5,0.0,top
R151,57.4875,-57.2,0.0,top
R2,34.75,-60.75,180.0,bottom
R3,28.75,-63.25,270.0,bottom
R4,26.75,-63.25,90.0,bottom
R5,27.75,-60.25,180.0,bottom
RA101,52.9125,-37.88125,0.0,top
RB101,48.4125,-35.88125,180.0,top
RC101,48.4125,-37.88125,0.0,top
RDIF101,48.4125,-33.88125,0.0,top
SW101,92.6,-80.85,180.0,top
SW102,82.8,-80.8,180.0,top
TIA1,39.25,-60.25,0.0,top
TIA2,27.0,-53.5,0.0,top
U1,33.25,-63.75,180.0,bottom
U101,40.6,-51.8,180.0,top
U104,62.8875,-49.75,0.0,top
U105,33.6,-37.95,90.0,top
U106,33.8475,-75.875,270.0,bottom
U107,40.95,-75.875,270.0,bottom
U108,63.25,-57.7875,270.0,top
U109,84.6125,-63.3,0.0,top
UC101,69.665,-72.23,180.0,top
Y101,79.335,-74.48,270.0,top
Y102,58.8,-77.2,90.0,top
